Soil_Type,Crop_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Level,Rainfall,Temperature,Recommended_Fertilizer
Clay,Cotton,7.9,77,37,63,12.0,162,19.2,Vermicompost
Loamy,Sugarcane,7.9,61,29,48,15.3,213,29.4,10-26-26
Chalky,Wheat,6.7,118,43,63,30.8,234,20.1,Urea
Loamy,Cotton,5.0,99,33,51,23.9,114,34.1,Compost
Sandy,Sugarcane,6.2,100,20,50,18.2,186,28.3,10-26-26
Sandy,Wheat,8.2,100,24,30,30.9,159,34.9,10-26-26
Chalky,Wheat,4.6,65,26,64,12.8,197,28.4,10-26-26
Loamy,Rice,7.8,47,59,59,17.1,232,22.1,10-26-26
Sandy,Rice,7.6,84,60,65,11.4,137,24.3,NPK
Loamy,Barley,6.5,41,32,47,24.0,152,30.4,10-26-26
Silty,Sugarcane,5.9,79,43,69,25.3,183,28.0,10-26-26
Peaty,Sugarcane,6.7,65,24,67,26.0,119,22.4,10-26-26
Clay,Barley,4.8,67,37,41,13.0,147,21.8,Compost
Peaty,Rice,6.5,56,53,67,31.0,245,29.9,10-26-26
Silty,Maize,7.7,113,57,68,18.8,150,24.9,DAP
Chalky,Soybean,6.1,118,50,43,14.8,123,19.0,Urea
Sandy,Wheat,6.9,51,59,39,34.7,116,20.8,10-26-26
Sandy,Cotton,4.7,40,40,34,29.5,93,22.3,10-26-26
Sandy,Sugarcane,7.8,96,47,72,27.6,200,34.1,NPK
Loamy,Maize,6.1,104,27,45,26.5,223,25.9,10-26-26
Silty,Cotton,7.0,89,50,52,21.2,159,21.2,DAP
Peaty,Maize,6.5,107,25,68,23.2,134,31.8,10-26-26
Sandy,Barley,7.4,75,29,57,26.6,223,19.9,10-26-26
Silty,Cotton,7.4,72,27,65,22.5,191,33.2,10-26-26
Chalky,Maize,8.2,62,21,53,11.4,199,32.0,10-26-26
Chalky,Maize,4.7,94,33,69,19.2,223,27.2,Compost
Sandy,Cotton,5.1,87,31,77,28.7,82,18.1,Compost
Sandy,Cotton,5.2,86,53,42,24.5,81,30.1,Compost
Peaty,Maize,8.2,82,26,53,27.6,144,29.4,10-26-26
Peaty,Rice,6.1,117,37,32,10.0,245,20.0,10-26-26
Loamy,Barley,6.6,101,45,32,26.9,144,25.1,10-26-26
Loamy,Barley,7.4,47,56,31,23.0,200,19.3,10-26-26
Peaty,Barley,5.3,98,51,41,31.0,201,30.3,Compost
Chalky,Soybean,8.1,109,26,32,12.9,174,34.8,10-26-26
Clay,Sugarcane,5.3,59,31,38,10.3,101,35.0,10-26-26
Silty,Soybean,5.6,55,23,58,26.7,243,21.0,10-26-26
Chalky,Rice,6.8,80,26,64,32.6,151,23.4,10-26-26
Sandy,Barley,7.2,118,21,51,14.7,161,28.6,10-26-26
Chalky,Wheat,5.8,115,43,63,15.3,83,23.3,Urea
Chalky,Cotton,5.2,93,23,34,32.5,129,24.8,10-26-26
Peaty,Wheat,5.5,74,25,41,21.2,193,23.4,10-26-26
Clay,Maize,7.5,117,32,74,34.3,209,25.4,Compost
Sandy,Barley,7.9,40,39,47,24.1,223,20.7,10-26-26
Loamy,Rice,7.3,83,49,66,22.8,102,29.1,NPK
Peaty,Cotton,8.1,51,27,35,21.0,126,33.3,10-26-26
Chalky,Rice,7.5,63,40,67,22.2,240,28.3,Urea
Sandy,Soybean,5.8,41,33,70,34.6,175,29.3,10-26-26
Silty,Rice,4.7,71,39,73,18.2,244,28.6,Compost
Sandy,Barley,4.7,56,39,33,10.6,177,25.7,10-26-26
Chalky,Maize,5.8,62,37,38,21.0,224,22.5,10-26-26
Loamy,Cotton,5.2,68,32,47,27.2,131,26.7,Compost
Sandy,Maize,5.3,73,48,46,18.0,103,28.1,Compost
Silty,Maize,4.8,114,43,52,13.7,244,19.2,Compost
Peaty,Cotton,7.7,120,30,32,28.8,229,30.8,10-26-26
Silty,Wheat,7.4,108,56,43,26.7,191,26.1,Urea
Loamy,Barley,7.1,76,33,51,11.0,208,28.6,Urea
Peaty,Soybean,7.6,74,25,62,22.5,133,24.1,10-26-26
Loamy,Wheat,5.6,99,36,32,26.1,109,29.8,10-26-26
Peaty,Barley,8.0,120,31,60,18.6,115,31.1,Urea
Silty,Sugarcane,6.7,81,43,66,32.1,176,27.0,NPK
Chalky,Sugarcane,6.6,44,40,74,24.4,106,30.7,10-26-26
Chalky,Maize,8.4,41,30,56,11.8,201,18.9,10-26-26
Loamy,Maize,8.3,52,31,52,23.2,158,28.5,10-26-26
Sandy,Cotton,6.4,109,31,78,12.3,85,31.1,Compost
Peaty,Cotton,7.5,115,56,74,17.8,191,23.2,DAP
Chalky,Cotton,7.9,100,35,46,11.8,175,33.0,Vermicompost
Loamy,Cotton,5.5,91,39,32,24.8,139,33.9,10-26-26
Peaty,Rice,7.2,93,47,79,20.4,148,29.7,NPK
Peaty,Cotton,5.9,115,21,40,16.9,211,34.9,10-26-26
Sandy,Maize,7.5,116,53,42,26.1,225,24.0,DAP
Sandy,Wheat,4.7,82,23,35,10.8,159,27.4,10-26-26
Sandy,Soybean,7.5,84,49,55,23.4,122,32.3,Compost
Clay,Barley,4.6,58,32,41,19.2,157,22.0,10-26-26
Loamy,Rice,6.3,63,35,43,11.8,191,34.2,Urea
Chalky,Wheat,5.4,59,55,79,33.1,175,25.2,10-26-26
Clay,Cotton,8.4,60,42,36,23.9,200,33.8,10-26-26
Peaty,Barley,4.5,90,33,60,28.7,176,33.4,Compost
Silty,Barley,5.1,71,26,54,12.4,112,25.2,10-26-26
Loamy,Soybean,8.2,57,45,79,23.6,163,27.0,10-26-26
Loamy,Soybean,5.1,94,58,55,10.0,216,31.8,Compost
Clay,Maize,4.9,102,57,31,25.8,136,33.5,10-26-26
Peaty,Wheat,5.3,70,43,53,26.6,167,19.3,Compost
Peaty,Soybean,6.9,40,59,68,14.1,181,30.5,10-26-26
Clay,Barley,5.7,69,28,61,21.6,128,28.2,10-26-26
Clay,Wheat,5.2,78,47,35,28.5,166,23.1,10-26-26
Silty,Barley,7.1,63,47,39,14.0,152,29.7,10-26-26
Loamy,Cotton,5.0,101,22,46,20.6,187,22.2,10-26-26
Sandy,Wheat,7.5,90,53,36,16.6,199,33.0,10-26-26
Clay,Maize,8.1,52,45,30,14.9,121,28.4,10-26-26
Loamy,Wheat,4.9,113,52,54,19.8,196,30.1,Compost
Clay,Cotton,7.1,91,47,79,25.6,93,22.8,DAP
Loamy,Cotton,6.0,73,60,37,12.6,234,30.2,10-26-26
Silty,Sugarcane,6.5,87,50,75,27.7,165,22.2,NPK
Peaty,Maize,5.8,54,31,57,18.4,216,18.4,10-26-26
Silty,Soybean,5.9,50,29,30,30.1,166,33.3,10-26-26
Chalky,Sugarcane,6.6,73,32,62,21.4,237,18.5,NPK
Silty,Cotton,8.0,46,49,48,10.3,90,34.1,10-26-26
Clay,Soybean,6.5,102,49,53,18.5,92,33.7,Vermicompost
Chalky,Maize,4.6,72,47,51,24.5,155,27.3,Compost
Clay,Sugarcane,5.4,74,31,48,20.7,171,29.1,Compost
Silty,Rice,7.4,97,40,49,10.0,242,33.9,NPK
Clay,Sugarcane,5.2,54,42,76,15.8,89,22.5,10-26-26
Peaty,Barley,4.7,90,35,41,13.1,101,34.8,Compost
Peaty,Rice,5.8,56,29,70,12.9,206,19.8,10-26-26
Silty,Maize,7.4,84,49,74,31.4,238,22.4,DAP
Sandy,Soybean,4.6,107,56,59,15.6,90,19.0,Compost
Clay,Maize,4.9,87,22,39,20.8,235,21.9,10-26-26
Chalky,Barley,6.6,52,44,62,16.3,100,34.0,10-26-26
Loamy,Barley,8.1,78,47,55,24.2,85,24.0,Urea
Sandy,Barley,6.0,72,25,57,20.3,109,30.4,10-26-26
Sandy,Sugarcane,6.3,73,39,69,31.4,211,34.0,Vermicompost
Sandy,Barley,5.8,46,43,66,24.0,201,19.6,10-26-26
Sandy,Soybean,5.3,95,37,77,20.3,127,21.5,Compost
Loamy,Sugarcane,8.0,45,58,55,14.0,126,25.7,10-26-26
Chalky,Maize,6.9,74,20,56,27.3,133,24.5,10-26-26
Clay,Soybean,8.0,93,28,47,24.2,148,25.5,10-26-26
Silty,Sugarcane,4.8,80,26,44,21.6,137,32.0,10-26-26
Clay,Barley,7.0,81,34,34,30.8,236,26.4,10-26-26
Loamy,Barley,5.0,117,49,67,10.3,187,23.2,Compost
Chalky,Sugarcane,7.3,82,54,54,29.8,201,23.0,NPK
Peaty,Rice,6.5,83,41,50,20.5,168,25.0,NPK
Silty,Wheat,5.4,99,51,43,13.4,216,21.3,Compost
Chalky,Wheat,4.7,89,36,55,15.0,88,18.2,Compost
Chalky,Soybean,7.0,113,25,70,17.9,204,34.5,10-26-26
Peaty,Maize,5.3,50,33,77,18.6,215,24.1,10-26-26
Loamy,Maize,4.5,77,40,58,31.0,199,18.5,Compost
Clay,Wheat,8.3,119,57,40,32.3,239,27.1,Urea
Loamy,Sugarcane,6.7,95,46,78,26.3,85,24.6,NPK
Loamy,Sugarcane,7.1,102,35,54,11.1,217,18.9,NPK
Sandy,Cotton,6.3,117,27,36,23.7,181,33.1,10-26-26
Sandy,Wheat,4.9,54,56,48,30.6,125,21.6,10-26-26
Sandy,Soybean,6.1,91,55,56,17.9,170,24.8,DAP
Silty,Sugarcane,5.1,75,40,79,22.6,172,31.6,Compost
Chalky,Rice,6.3,80,52,64,22.3,216,32.4,Compost
Sandy,Soybean,7.3,91,51,78,22.3,198,22.4,10-26-26
Silty,Wheat,8.0,62,45,48,24.4,80,21.8,Vermicompost
Loamy,Soybean,5.6,99,31,73,30.1,105,18.8,Compost
Peaty,Barley,8.5,93,46,56,13.3,128,31.5,Urea
Chalky,Rice,6.1,119,34,38,22.3,236,33.0,10-26-26
Peaty,Sugarcane,6.2,50,58,66,23.4,184,18.8,10-26-26
Clay,Maize,4.5,118,35,40,16.1,225,29.6,Compost
Chalky,Cotton,5.0,51,43,31,12.8,233,25.0,10-26-26
Chalky,Cotton,7.1,110,52,42,27.8,121,21.0,DAP
Silty,Maize,4.8,70,31,60,33.5,131,22.4,Compost
Loamy,Wheat,7.9,77,24,31,31.6,132,31.1,10-26-26
Peaty,Cotton,5.2,98,35,73,30.5,234,31.1,Compost
Silty,Wheat,6.9,62,49,62,18.4,244,22.5,Urea
Peaty,Soybean,5.0,82,30,45,22.7,198,27.9,Compost
Chalky,Rice,5.9,40,22,73,21.9,184,24.2,10-26-26
Peaty,Cotton,7.1,89,24,80,32.5,186,20.8,10-26-26
Loamy,Barley,6.0,108,27,75,13.5,235,28.6,10-26-26
Chalky,Sugarcane,7.4,43,48,60,33.3,95,22.7,10-26-26
Loamy,Soybean,8.3,90,22,53,11.6,182,28.3,10-26-26
Chalky,Sugarcane,4.7,120,48,57,32.3,111,27.0,Compost
Clay,Wheat,7.2,73,57,78,30.8,108,20.6,Urea
Chalky,Wheat,4.7,86,46,72,32.0,166,23.4,Compost
Sandy,Wheat,5.0,101,33,46,21.7,104,28.2,Compost
Loamy,Barley,4.6,49,49,75,16.9,205,18.6,10-26-26
Sandy,Soybean,6.2,73,41,48,32.4,193,34.7,10-26-26
Silty,Barley,7.0,73,56,47,14.0,232,33.4,Urea
Clay,Soybean,6.6,57,29,63,13.8,153,33.7,10-26-26
Clay,Wheat,7.5,87,56,53,28.3,154,30.1,Urea
Loamy,Barley,5.3,60,56,70,15.3,158,29.7,Compost
Silty,Barley,5.4,96,38,39,21.0,112,31.3,10-26-26
Sandy,Sugarcane,7.6,77,44,46,21.3,243,31.5,DAP
Clay,Soybean,7.9,67,57,49,26.4,117,21.9,Vermicompost
Clay,Maize,5.6,86,52,77,17.9,212,20.0,DAP
Silty,Cotton,5.6,119,30,52,15.2,244,25.7,DAP
Peaty,Soybean,8.1,104,40,63,12.6,175,30.2,Compost
Silty,Barley,7.2,61,53,60,12.4,124,33.7,Compost
Silty,Rice,6.8,48,41,44,19.1,159,30.9,10-26-26
Sandy,Wheat,5.5,59,37,68,27.3,110,18.7,10-26-26
Chalky,Wheat,7.9,85,51,59,21.2,225,28.8,Urea
Chalky,Rice,5.4,107,34,77,26.9,131,31.1,Compost
Loamy,Barley,6.4,44,45,70,25.4,105,25.8,10-26-26
Loamy,Sugarcane,8.1,48,37,65,22.4,216,32.3,10-26-26
Chalky,Sugarcane,7.7,50,23,58,20.3,225,21.9,10-26-26
Peaty,Wheat,6.1,71,36,77,30.7,126,21.9,Urea
Chalky,Barley,6.6,71,34,74,30.2,196,24.0,Urea
Sandy,Rice,7.1,117,37,65,16.1,151,19.9,NPK
Clay,Barley,7.7,64,24,38,12.5,213,22.6,10-26-26
Loamy,Rice,7.9,66,34,45,18.7,229,34.5,Vermicompost
Silty,Cotton,8.4,52,54,80,16.7,93,18.7,10-26-26
Loamy,Soybean,7.3,49,32,60,21.3,109,19.7,10-26-26
Silty,Rice,7.3,100,32,36,10.8,218,32.8,10-26-26
Peaty,Wheat,5.1,116,51,49,13.2,225,21.0,Compost
Clay,Sugarcane,8.3,95,27,76,27.3,193,31.6,10-26-26
Chalky,Wheat,6.1,115,60,69,18.4,196,22.0,Urea
Clay,Maize,6.4,92,58,47,23.8,206,28.7,DAP
Chalky,Wheat,5.5,82,52,60,33.7,211,20.9,Urea
Loamy,Barley,8.4,78,36,64,10.4,143,26.2,Urea
Loamy,Maize,5.8,111,52,49,21.2,240,27.7,DAP
Silty,Rice,6.2,63,51,30,20.4,161,30.5,10-26-26
Peaty,Cotton,7.2,103,30,41,30.8,96,22.2,Compost
Chalky,Maize,6.9,52,48,51,24.6,243,24.3,10-26-26
Chalky,Sugarcane,6.4,63,32,79,17.8,107,20.4,DAP
Sandy,Maize,5.4,104,39,50,12.6,215,29.6,Compost
Silty,Rice,7.1,78,59,43,33.8,226,30.4,NPK
Sandy,Maize,4.7,60,32,79,32.1,181,32.7,Compost
Sandy,Soybean,6.3,60,59,72,24.6,120,34.6,10-26-26
Peaty,Cotton,6.6,116,46,79,32.6,148,19.4,DAP
Sandy,Maize,5.3,100,39,53,21.0,117,27.9,Compost
Loamy,Maize,7.8,85,40,58,34.7,158,24.6,Compost
Peaty,Cotton,4.7,93,20,78,30.0,183,28.3,10-26-26
Clay,Cotton,5.3,85,28,59,22.4,150,30.6,10-26-26
Clay,Soybean,7.6,65,33,72,22.5,145,23.2,10-26-26
Loamy,Rice,8.4,81,47,80,26.6,177,24.9,NPK
Loamy,Sugarcane,5.6,111,32,43,28.3,238,22.1,NPK
Peaty,Cotton,5.2,75,26,34,23.2,142,22.9,10-26-26
Sandy,Maize,7.0,101,57,60,12.9,91,29.1,DAP
Chalky,Cotton,5.6,102,35,47,10.0,235,20.2,Vermicompost
Silty,Rice,8.2,52,23,70,31.7,167,22.0,10-26-26
Loamy,Sugarcane,7.6,87,48,48,25.2,108,34.5,NPK
Silty,Wheat,6.0,49,40,79,27.0,185,19.1,10-26-26
Sandy,Soybean,6.1,59,57,49,34.1,226,27.2,10-26-26
Sandy,Sugarcane,5.7,51,48,45,13.0,163,30.0,10-26-26
Peaty,Sugarcane,7.1,73,55,63,19.3,154,34.2,NPK
Clay,Wheat,4.6,48,40,53,17.6,194,33.7,10-26-26
Chalky,Wheat,5.8,63,40,59,16.3,138,27.1,Compost
Loamy,Maize,7.8,65,36,46,12.6,234,34.0,NPK
Clay,Wheat,7.7,55,46,57,14.5,181,30.1,10-26-26
Silty,Soybean,6.0,46,53,33,20.1,211,31.3,10-26-26
Loamy,Rice,8.4,112,47,32,13.2,209,25.2,10-26-26
Loamy,Soybean,6.4,108,51,48,19.4,227,24.2,10-26-26
Chalky,Rice,4.7,49,56,35,27.1,222,25.4,10-26-26
Clay,Sugarcane,5.3,60,52,35,30.4,226,31.6,10-26-26
Silty,Sugarcane,6.4,64,24,79,17.5,190,28.8,10-26-26
Loamy,Cotton,5.7,97,29,71,15.9,164,30.4,10-26-26
Clay,Wheat,4.7,113,41,59,12.4,215,18.1,Compost
Chalky,Barley,5.1,95,21,55,11.7,227,34.9,10-26-26
Loamy,Rice,5.7,119,44,31,13.7,82,22.1,10-26-26
Sandy,Maize,8.2,94,29,46,23.0,137,24.2,10-26-26
Peaty,Barley,8.0,81,54,59,19.9,247,23.7,Urea
Chalky,Wheat,5.3,113,42,75,19.4,227,23.4,Compost
Sandy,Wheat,7.2,58,33,49,17.2,126,27.8,10-26-26
Clay,Rice,4.8,108,58,32,14.8,112,24.9,10-26-26
Peaty,Maize,8.2,48,40,50,19.4,138,29.3,10-26-26
Chalky,Wheat,5.5,65,39,40,13.2,188,19.0,10-26-26
Sandy,Wheat,5.7,85,21,38,13.9,192,21.0,10-26-26
Clay,Soybean,7.5,88,21,58,10.4,133,27.5,10-26-26
Silty,Rice,6.0,97,48,55,22.7,130,27.6,NPK
Sandy,Soybean,5.8,88,57,37,17.4,103,30.5,10-26-26
Sandy,Sugarcane,8.0,114,53,37,14.8,121,19.7,10-26-26
Sandy,Rice,8.1,102,58,52,18.7,161,27.4,NPK
Silty,Wheat,5.9,66,25,62,13.1,172,28.0,10-26-26
Silty,Maize,6.6,105,27,59,15.1,84,25.7,10-26-26
Clay,Cotton,7.7,93,45,36,24.8,170,19.6,10-26-26
Loamy,Maize,6.7,48,47,71,27.6,156,31.5,10-26-26
Sandy,Barley,7.0,50,44,60,13.8,84,30.1,10-26-26
Loamy,Barley,7.2,81,22,39,10.6,143,25.0,10-26-26
Sandy,Sugarcane,5.8,41,28,63,26.7,119,21.7,10-26-26
Sandy,Barley,6.9,100,22,33,32.8,232,31.6,10-26-26
Sandy,Soybean,8.2,77,43,69,34.5,186,18.2,DAP
Silty,Wheat,7.0,62,53,39,20.3,126,32.6,10-26-26
Loamy,Rice,5.5,60,21,61,34.5,132,28.4,10-26-26
Loamy,Cotton,7.7,120,43,46,12.1,239,21.1,DAP
Loamy,Rice,7.5,43,41,31,10.5,200,31.9,10-26-26
Clay,Barley,4.6,58,46,32,26.4,218,24.2,10-26-26
Silty,Soybean,6.9,116,53,40,27.4,120,23.8,Urea
Clay,Maize,4.9,68,25,56,11.7,96,28.0,10-26-26
Clay,Cotton,6.6,99,46,64,28.6,192,26.7,DAP
Sandy,Soybean,6.2,117,60,30,20.0,159,18.4,10-26-26
Silty,Cotton,5.8,72,28,50,34.4,248,32.9,10-26-26
Peaty,Maize,5.8,118,26,60,24.7,206,32.4,10-26-26
Chalky,Soybean,6.3,113,32,38,10.4,136,19.3,10-26-26
Peaty,Wheat,6.5,58,34,72,34.2,101,29.8,10-26-26
Chalky,Rice,4.8,91,38,69,14.7,106,31.1,Compost
Sandy,Wheat,7.9,72,31,76,25.4,248,29.0,Urea
Loamy,Maize,4.6,99,57,63,30.7,212,31.4,Compost
Peaty,Maize,5.5,56,40,57,27.7,175,21.7,10-26-26
Chalky,Wheat,4.7,114,22,77,15.0,178,21.0,10-26-26
Chalky,Rice,5.9,65,31,30,20.5,116,26.6,10-26-26
Chalky,Rice,6.4,70,30,55,16.8,162,18.5,Urea
Peaty,Cotton,6.9,101,42,42,19.9,240,23.1,DAP
Peaty,Cotton,8.0,97,33,59,28.7,239,32.6,10-26-26
Peaty,Cotton,6.5,55,37,71,13.3,211,29.8,10-26-26
Loamy,Maize,5.3,63,36,51,21.0,204,19.1,Compost
Peaty,Cotton,7.8,52,41,78,13.1,212,33.4,10-26-26
Loamy,Rice,8.0,86,47,71,21.6,86,30.7,NPK
Peaty,Wheat,7.0,52,34,59,30.1,108,25.3,10-26-26
Clay,Sugarcane,7.6,77,28,52,21.6,158,34.0,10-26-26
Silty,Cotton,6.4,110,25,62,21.6,126,31.3,10-26-26
Silty,Soybean,7.8,105,32,39,23.9,136,21.1,10-26-26
Clay,Wheat,6.4,85,53,68,34.2,118,30.8,Urea
Peaty,Soybean,7.7,107,53,33,10.8,216,26.0,10-26-26
Loamy,Sugarcane,7.1,69,53,40,30.8,175,18.8,DAP
Clay,Barley,7.9,61,60,70,23.7,238,21.4,DAP
Chalky,Wheat,5.8,109,59,57,17.0,131,27.0,Urea
Loamy,Rice,4.7,91,38,54,14.0,213,31.8,Compost
Silty,Cotton,5.0,99,40,38,15.8,156,25.7,10-26-26
Clay,Rice,6.6,72,55,72,29.1,159,25.6,DAP
Chalky,Sugarcane,7.7,116,24,33,25.5,185,19.9,10-26-26
Sandy,Wheat,5.1,101,30,78,20.9,142,24.7,Compost
Silty,Soybean,7.5,60,46,55,24.5,231,24.6,DAP
Sandy,Soybean,5.2,84,24,44,15.7,150,27.8,10-26-26
Sandy,Cotton,6.2,55,57,73,22.9,118,20.9,10-26-26
Sandy,Cotton,7.2,58,37,78,31.3,163,22.4,10-26-26
Clay,Barley,6.5,55,53,49,34.4,214,23.7,10-26-26
Clay,Soybean,6.9,120,58,60,12.3,139,28.3,NPK
Silty,Maize,4.9,55,54,77,34.0,236,30.2,10-26-26
Silty,Wheat,7.7,49,41,47,27.6,90,28.0,10-26-26
Silty,Soybean,6.3,72,27,70,31.5,199,34.3,10-26-26
Silty,Sugarcane,6.5,61,51,78,33.3,154,27.9,DAP
Peaty,Rice,6.7,51,58,68,21.4,172,21.6,10-26-26
Sandy,Soybean,4.5,103,47,56,16.0,94,26.7,Compost
Chalky,Rice,6.0,75,37,46,21.2,243,34.7,Vermicompost
Loamy,Cotton,5.9,72,42,35,21.3,83,20.3,10-26-26
Clay,Barley,4.7,102,35,67,29.4,206,27.7,Compost
Sandy,Sugarcane,7.5,95,37,36,13.7,204,27.7,10-26-26
Peaty,Sugarcane,5.5,112,44,68,15.7,212,18.2,NPK
Chalky,Cotton,5.0,45,58,36,17.7,231,20.0,10-26-26
Chalky,Rice,8.4,113,26,37,17.7,141,20.2,10-26-26
Loamy,Sugarcane,5.3,117,46,55,24.7,90,19.1,Compost
Loamy,Barley,7.9,96,49,66,34.0,213,22.2,Urea
Clay,Cotton,6.3,120,47,72,10.6,86,28.9,DAP
Sandy,Sugarcane,6.2,63,21,70,16.8,164,21.5,10-26-26
Clay,Maize,7.1,92,21,76,20.4,196,21.1,10-26-26
Loamy,Maize,7.3,84,42,45,24.1,150,32.6,DAP
Silty,Soybean,5.0,46,40,59,29.6,242,29.4,10-26-26
Loamy,Soybean,5.0,60,33,65,27.4,220,25.5,Compost
Chalky,Maize,8.3,91,42,79,13.5,124,28.9,DAP
Silty,Soybean,6.0,51,41,52,33.9,237,23.6,10-26-26
Peaty,Barley,8.3,69,40,49,32.5,105,22.6,NPK
Clay,Barley,7.7,91,40,69,34.9,207,22.3,Urea
Chalky,Wheat,6.2,88,32,46,23.0,204,23.0,Urea
Loamy,Maize,4.6,96,43,78,15.5,120,22.8,Compost
Sandy,Maize,6.3,42,27,42,14.3,228,32.8,10-26-26
Loamy,Sugarcane,7.3,111,38,78,12.1,223,29.1,NPK
Peaty,Wheat,7.1,90,59,74,33.9,99,18.1,Urea
Sandy,Rice,5.5,51,58,72,33.2,183,33.8,10-26-26
Loamy,Wheat,7.4,83,54,52,29.1,181,19.6,Urea
Sandy,Cotton,6.6,53,38,69,15.8,225,21.1,10-26-26
Clay,Maize,7.7,68,48,32,13.4,142,26.0,10-26-26
Peaty,Wheat,8.3,75,21,61,14.6,137,34.6,10-26-26
Chalky,Wheat,8.5,71,34,58,23.9,245,20.9,Urea
Sandy,Wheat,5.8,41,38,45,20.6,85,23.3,10-26-26
Peaty,Cotton,5.6,96,46,65,34.3,221,20.6,DAP
Peaty,Wheat,7.4,92,31,63,10.0,228,28.1,Urea
Silty,Barley,8.2,113,44,77,17.2,146,21.2,Urea
Chalky,Soybean,7.1,86,36,57,27.8,174,29.7,10-26-26
Sandy,Maize,5.8,109,42,34,16.3,114,34.3,10-26-26
Loamy,Soybean,8.2,71,54,67,21.4,112,32.4,Urea
Peaty,Barley,6.3,100,54,50,20.6,106,20.7,Urea
Peaty,Wheat,6.2,84,55,44,23.4,199,18.4,Urea
Loamy,Sugarcane,6.3,46,49,69,29.5,192,29.6,10-26-26
Silty,Sugarcane,7.0,95,24,40,32.7,85,18.3,10-26-26
Peaty,Cotton,6.7,111,23,52,29.7,202,27.2,10-26-26
Chalky,Wheat,5.8,48,42,34,13.4,150,33.1,10-26-26
Peaty,Maize,6.4,43,58,61,32.0,190,28.0,10-26-26
Chalky,Soybean,7.2,57,45,43,30.1,249,29.2,10-26-26
Silty,Maize,6.1,108,39,51,22.8,139,31.7,Vermicompost
Peaty,Cotton,6.0,58,54,73,19.7,230,19.6,10-26-26
Loamy,Soybean,8.2,40,59,33,12.3,171,29.0,10-26-26
Peaty,Rice,6.2,49,59,34,20.1,215,29.6,10-26-26
Silty,Barley,4.8,60,32,45,24.8,233,31.1,Compost
Sandy,Soybean,7.8,63,21,71,14.3,206,33.3,10-26-26
Chalky,Rice,7.1,82,25,36,32.0,183,26.2,10-26-26
Peaty,Barley,6.7,89,46,54,33.0,201,33.3,Urea
Sandy,Soybean,6.3,83,31,36,16.9,159,24.7,10-26-26
Loamy,Wheat,6.1,95,36,61,17.2,103,22.6,Urea
Sandy,Maize,7.9,91,32,44,11.7,169,29.5,NPK
Chalky,Rice,5.2,83,48,78,18.6,104,19.0,Compost
Peaty,Maize,5.6,42,58,33,29.2,222,33.0,10-26-26
Clay,Barley,5.4,87,26,40,21.6,80,26.0,10-26-26
Peaty,Rice,8.0,40,40,54,29.1,158,26.7,10-26-26
Clay,Soybean,7.2,112,56,53,31.2,97,18.2,DAP
Sandy,Barley,6.1,119,51,41,32.7,217,30.6,Urea
Sandy,Maize,6.7,52,29,68,23.2,175,23.9,10-26-26
Peaty,Wheat,6.6,96,31,62,26.4,118,25.1,Urea
Silty,Rice,7.4,119,22,64,31.5,110,20.6,10-26-26
Loamy,Maize,6.3,53,42,73,20.2,126,29.7,10-26-26
Peaty,Sugarcane,5.5,61,26,61,26.0,129,32.9,10-26-26
Peaty,Wheat,6.2,118,41,59,32.8,248,34.9,Urea
Peaty,Soybean,4.9,89,48,37,15.8,221,34.2,10-26-26
Clay,Maize,8.3,71,43,39,12.4,141,18.3,10-26-26
Silty,Wheat,5.1,91,22,52,34.9,95,21.1,10-26-26
Silty,Soybean,6.5,115,26,63,31.2,103,18.3,10-26-26
Chalky,Barley,6.9,81,53,66,16.9,227,32.7,Urea
Chalky,Sugarcane,5.6,106,45,78,27.2,219,29.5,NPK
Chalky,Wheat,5.4,76,40,38,10.9,194,25.0,10-26-26
Sandy,Maize,5.7,120,47,55,30.2,191,31.6,DAP
Silty,Rice,6.3,102,21,61,25.2,106,28.3,10-26-26
Loamy,Sugarcane,7.8,101,59,54,20.6,158,22.7,NPK
Silty,Soybean,5.6,76,23,63,23.4,90,25.6,10-26-26
Sandy,Rice,6.3,79,57,77,12.3,226,30.2,Vermicompost
Sandy,Barley,5.4,80,23,64,14.9,87,25.0,10-26-26
Clay,Maize,5.4,89,32,52,24.6,217,24.3,Compost
Clay,Soybean,6.3,95,52,63,23.4,125,21.5,Vermicompost
Loamy,Barley,5.1,45,33,36,32.0,197,25.4,10-26-26
Sandy,Wheat,6.1,80,24,75,10.9,132,26.5,10-26-26
Silty,Wheat,6.7,113,60,69,24.0,83,30.0,Urea
Clay,Cotton,5.2,66,27,48,16.3,81,31.8,10-26-26
Sandy,Barley,8.3,82,31,54,13.4,138,26.5,Urea
Loamy,Soybean,5.4,91,22,39,11.5,116,23.5,10-26-26
Peaty,Wheat,5.1,119,36,57,27.7,226,27.1,Compost
Chalky,Soybean,5.1,120,39,43,10.2,247,31.7,Compost
Chalky,Maize,5.2,92,20,56,25.2,185,23.7,10-26-26
Silty,Maize,6.8,64,51,46,17.9,233,19.5,DAP
Clay,Barley,5.4,90,22,74,14.7,194,25.3,10-26-26
Sandy,Barley,7.1,68,24,70,16.6,109,18.2,10-26-26
Clay,Wheat,6.6,102,24,41,25.1,217,34.4,10-26-26
